SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLARS PER SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,NUM_UNITS,Association Heat,Association Water,Pool,Other Extras,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,314 Wisconsin Ave Unit 3S,Oak Park,IL,60302,299000.00,2.00,1.00,Oak Park,1600.00,,1925.00,4.00,187.00,360.00,Active,October-11-2020 12:00 PM,October-11-2020 01:00 PM,6,FALSE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/314-Wisconsin-Ave-60302/unit-3S/home/55285816,MRED,10895679,N,Y,41.8825661,-87.8019736
MLS Listing,,Condo/Co-op,317 Wisconsin Ave Unit 3A,Oak Park,IL,60302,296000.00,3.00,2.00,Oak Park,1400.00,,1965.00,4.00,211.00,383.00,Active,,,10,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/317-Wisconsin-Ave-60302/unit-3A/home/12617162,MRED,10895037,N,Y,41.8825337,-87.802729
MLS Listing,,Condo/Co-op,338 N Austin Blvd #1,Oak Park,IL,60302,125000.00,2.00,1.00,Oak Park,1000.00,,1906.00,4.00,125.00,332.00,Active,,,19,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/338-N-Austin-Blvd-60302/unit-1/home/13266649,MRED,10851764,N,Y,41.886796,-87.7752067
MLS Listing,,Condo/Co-op,1107 Washington Blvd Unit 7-1W,Oak Park,IL,60302,88900.00,1.00,1.00,Oak Park,700.00,,1965.00,4.00,127.00,233.00,Active,October-11-2020 01:00 PM,October-11-2020 03:00 PM,11,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/1107-Washington-Blvd-60302/unit-71W/home/13270021,MRED,10894561,N,Y,41.881242,-87.802712
MLS Listing,,Condo/Co-op,1122 Washington Blvd Unit 3A,Oak Park,IL,60302,149000.00,1.00,1.00,Oak Park,,,1925.00,5.00,,207.00,Active,,,58,FALSE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/1122-Washington-Blvd-60302/unit-3A/home/142918636,MRED,10893484,N,Y,41.8819449,-87.8034712
MLS Listing,,Condo/Co-op,415 S Lombard Ave #302,Oak Park,IL,60302,119000.00,1.00,1.00,Oak Park,,,1968.00,6.00,,301.00,Active,October-11-2020 12:00 PM,October-11-2020 02:00 PM,20,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/415-S-Lombard-Ave-60302/unit-302/home/13267926,MRED,10877355,N,Y,41.8811149,-87.7800437
MLS Listing,,Condo/Co-op,1008 Washington Blvd #8,Oak Park,IL,60302,125000.00,1.00,1.00,Oak Park,,,1962.00,6.00,,331.00,Active,,,,,,,,http://www.redfin.com/IL/Oak-Park/1008-Washington-Blvd-60302/unit-8/home/13269836,MRED,10892482,N,Y,41.8816417,-87.8003786
MLS Listing,,Condo/Co-op,1209 N Harlem Ave #10,Oak Park,IL,60302,119000.00,2.00,1.00,Oak Park,900.00,,1954.00,6.00,132.00,346.00,Active,,,10,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/1209-N-Harlem-Ave-60302/unit-10/home/13274862,MRED,10892282,N,Y,41.9020707,-87.8051383
MLS Listing,,Condo/Co-op,921 ONTARIO St Unit C,Oak Park,IL,60302,289900.00,2.00,2.00,Oak Park,,,,7.00,,275.00,Active,October-11-2020 01:00 PM,October-11-2020 03:00 PM,,,,,,http://www.redfin.com/IL/Oak-Park/921-Ontario-St-60302/unit-C/home/12792404,MRED,10891554,Y,Y,41.8898992,-87.7986573
MLS Listing,,Condo/Co-op,104 S SCOVILLE Ave Unit 2A,Oak Park,IL,60302,178000.00,2.00,1.00,Oak Park,946.00,,,8.00,188.00,385.00,Active,October-11-2020 12:00 PM,October-11-2020 01:30 PM,,,,,,http://www.redfin.com/IL/Oak-Park/104-S-Scoville-Ave-60302/unit-2A/home/13268333,MRED,10891255,N,Y,41.8865861,-87.7875927
MLS Listing,,Condo/Co-op,200 N Kenilworth Ave #3,Oak Park,IL,60302,185000.00,2.00,1.00,Oak Park,1000.00,,1903.00,8.00,185.00,,Active,,,,,,,,http://www.redfin.com/IL/Oak-Park/Undisclosed-address-60302/home/13271158,MRED,10891120,N,Y,41.8903673,-87.7971058
MLS Listing,,Condo/Co-op,846 Wesley Ave #1,Oak Park,IL,60304,135000.00,1.00,1.00,Oak Park,,,1923.00,8.00,,328.00,Active,,,,,,,,http://www.redfin.com/IL/Oak-Park/846-Wesley-Ave-60304/unit-1/home/12661972,MRED,10891002,N,Y,41.8727592,-87.7913087
MLS Listing,,Condo/Co-op,204 N Kenilworth Ave Unit 1N,Oak Park,IL,60302,199000.00,2.00,1.00,Oak Park,1000.00,,1921.00,8.00,199.00,438.00,Active,,,20,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/204-N-Kenilworth-Ave-60302/unit-1N/home/172080856,MRED,10890841,N,Y,41.890367,-87.797106
